Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating,Host_Name,No_Of_BedRooms,No_Of_BathRooms,No_Of_Beds
2.15283,41.38402,Bonita y acogedora habitación,Spain,20.0,Private room,10.0,Julia,1.0,2.0,1.0
2.16156,41.37286,Amazing places. Love holidays. Barcelona.,Spain,50.0,Private room,9.0,Emile,1.0,1.0,1.0
2.15713,41.38538,Romantic room with amazing terrace in the center,Spain,51.0,Private room,10.0,Pia,1.0,1.0,2.0
2.1657,41.40467,"ATICO CON LAS MEJORES VISTAS DE BARCELONA UNICO,",Spain,95.0,Private room,10.0,Jhon,1.0,1.0,1.0
2.16864,41.37824,Loft 3,Spain,120.0,Private room,9.0,Cristian,1.0,1.0,1.0
2.21523,41.40802,"Double room, facing the sea. CCIB",Spain,32.0,Private room,10.0,Gloria,1.0,1.0,1.0
2.17499,41.37617,Very quite and bright room in Raval near Ramblas,Spain,34.0,Private room,10.0,Jesica,1.0,1.0,1.0
2.15353,41.40185,Habitación privada en Gràcia / metro Fontana L3,Spain,40.0,Private room,9.0,Gustavo,1.0,1.0,1.0
2.17194,41.39958,2 Habitaciones cómodas,Spain,45.0,Private room,10.0,Dolores,1.0,0.0,1.0
2.18902,41.38096,LOCATION! PVT Double BR w/Balcony across the BEACH,Spain,80.0,Private room,10.0,Noemi,1.0,1.0,1.0
2.16139,41.40477,sunny flat,Spain,100.0,Private room,9.0,Jana,1.0,1.0,1.0
2.13166,41.37284,"habitacion independiente, muy centrica",Spain,25.0,Private room,9.0,Esteban,1.0,1.0,2.0
2.16423,41.3808,Confortable  Room/center bcn w/prívate bathroom,Spain,40.0,Private room,10.0,Giuseppe,1.0,1.0,1.0
2.16462,41.37123,"piso bonito, muy centrico",Spain,60.0,Private room,10.0,Marina,2.0,1.0,2.0
2.16584,41.38316,Barcelona late desde el Raval.,Spain,22.0,Private room,9.0,Fanny,2.0,1.0,1.0
2.16663,41.40691,Nice room for city visitors,Spain,19.0,Private room,10.0,André,1.0,1.0,1.0
2.17705,41.38934,"Yurbban Suite Terrace, Breakfast Included",Spain,89.0,Private room,9.0,Marc De Yurbban Passage,1.0,1.0,1.0
2.17525,41.3776,STUDIO AT THE PRICE OF A ROOM,Spain,78.0,Private room,8.0,Fernando,1.0,1.0,1.0
2.15344,41.37972,Bedroom /City Center /Close touristc places,Spain,39.0,Private room,8.0,Enrique/Mathi,1.0,1.0,2.0
2.1434,41.36919,"Big bed, big room, near to plaza españa",Spain,35.0,Private room,9.0,Juan Pablo,1.0,1.0,1.0
2.14905,41.39667,Habitación cómoda con llave 5,Spain,30.0,Private room,10.0,Olí,1.0,1.0,1.0
2.16969,41.37351,Room with natural lighting,Spain,25.0,Private room,6.0,Jaime,1.0,1.0,2.0
