Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating
2.20727,41.39763,UD Rambla Suites  Pool 27 (2 BR),Spain,175.0,Entire home/apt,9.0
2.16311,41.37766,Comfortable Apartment Sant Antoni area for months,Spain,45.0,Entire home/apt,10.0
2.14838,41.38453,habitación privada plaza España 2,Spain,110.0,Private room,10.0
2.19552,41.39343,2379 - AB Vila Olimpica - Icaria Apartment - Bright and modern apartment with amazing pool in Vila Olímpica,Spain,80.0,Entire home/apt,9.0
2.1586,41.38186,2378 - AB Casa Farreras A - Amazing 1-bedroom Apartment with a Private Terrace,Spain,100.0,Entire home/apt,9.0
2.17262,41.37539,Room in the center of Barcelona,Spain,2000.0,Private room,9.0
2.15819,41.38308,Well connected central modernist apartment,Spain,80.0,Private room,10.0
2.16011,41.40502,Terrace and pool apartment near the Barcelona,Spain,110.0,Entire home/apt,9.0
2.16088,41.39817,2541 - AB GRACIA SPACIOUS - Apartment for 4 with private terrace in Gràcia,Spain,70.0,Entire home/apt,9.0
2.19012,41.38033,2633 - AB Barceloneta - Artistic Style Apartment - Beachside apartment for 2 with balcony and WiFi,Spain,60.0,Entire home/apt,9.0
2.1805,41.41756,Habitación cerca a Sagrada Familia,Spain,18.0,Private room,8.0
2.16673,41.38789,Room A4,Spain,79.0,Private room,9.0
2.19918,41.39715,Cozy Room near the Beach and 10 min away city cent,Spain,50.0,Private room,9.0
2.17574,41.40557,ABSOLUTE SAGRADA FAMILIA 2,Spain,115.0,Entire home/apt,10.0
2.17696,41.37818,(inRAMBLAS) 1double room! Historic center,Spain,68.0,Private room,9.0
2.16078,41.38334,Central 3 Beds + Breakfast & Balcony (3A),Spain,40.0,Private room,9.0
2.15482,41.38046,WONDERFUL APARTMENT NEAR PASEO DE GRACIA,Spain,80.0,Entire home/apt,9.0
2.14306,41.38186,Big double room with private bathroom,Spain,55.0,Private room,9.0
2.19975,41.40125,"Nice room, Lovely apartment next to the beach",Spain,44.0,Private room,9.0
2.15076,41.4069,Design apartment with amazing views,Spain,75.0,Entire home/apt,9.0
2.18358,41.38484,Habitación doble en el centro de la ciudad,Spain,47.0,Private room,9.0
2.17051,41.39397,Paseo de Gracia Apartment 4 3,Spain,90.0,Entire home/apt,9.0
2.1788,41.40387,Sagrada Familia up to 6!!,Spain,50.0,Entire home/apt,9.0
2.13289,41.41021,Beautiful room at Tibidabbo,Spain,17.0,Private room,10.0
2.18163,41.4073,Eixample Dret València Cartagena,Spain,71.0,Entire home/apt,8.0
2.17445,41.3973,Precioso Apartamento en Barcelona *Bcn* C02,Spain,150.0,Entire home/apt,9.0
2.20945,41.41948,el Besos y el Maresme,Spain,35.0,Private room,9.0
2.15466,41.37391,Plaza Espanya,Spain,70.0,Entire home/apt,7.0
2.1737,41.3846,Cozy Apartment Las Ramblas,Spain,45.0,Entire home/apt,10.0
2.17372,41.39858,Precioso Estudio en Barcelona *Bcn* C01,Spain,72.0,Entire home/apt,10.0
2.16664,41.39064,ON Passeig de Gràcia LUXURY 2BR TERRACE&concierge,Spain,160.0,Entire home/apt,9.0
2.13589,41.40416,ruhige Wohnung mit WLAN in Barcelona,Spain,59.0,Entire home/apt,9.0
