Name,Country,Price,Review_Rating
"1Family Vacation Suite RAMBL Street, Port of Colom",Spain,45,9
YOUR SUNNY DOUBLE BEDROOM IN THE CENTER,Spain,45,9
Studio 12 square meters(penthouse),Spain,45,9
"Nice room, Lovely apartment next to the beach",Spain,44,9
What a place in Barcelona in the center,Spain,43,9
Air conditioned room,Spain,42,9
Room for 2 people with  bathroom  Sagrada Familia,Spain,42,9
Apartaments special Benvenido !!,Spain,42,9
2-2 Design apartment close to sagrada familia,Spain,42,9
Gignas Studio Apartment,Spain,41,9
3-Bedroom Apartment With Big Terrace,Spain,41,9
Rambla I - Plaça Catalunya,Spain,41,7
Flower Power Room,Spain,40,9
IDEAL! HABITACIÓN DOBLE CON BALCÓN,Spain,40,10
BCN11# Double room with bathroom A/C,Spain,40,10
Smart Studio next to El Born,Spain,40,9
Habitación acogedora en zona muy tranquila,Spain,40,9
Sunny and quiet room with private shower room,Spain,40,9
Ideal apartment for families. With gorgeous views,Spain,40,9
Double room + Private Bathroom / Sagrada Familia,Spain,40,9
Triple Room with shared bathroom,Spain,40,10
Double Bed in the very middle of Barcelona,Spain,40,9
Confortable  Room/center bcn w/prívate bathroom,Spain,40,10
"Double/single room, bathroom & garage in Poblenou",Spain,40,10
Habitación privada en Gràcia / metro Fontana L3,Spain,40,9
Large Room Boqueria,Spain,40,9
Central 3 Beds + Breakfast & Balcony (3A),Spain,40,9
Double 02 CasanovaRooms Barcelona,Spain,40,9
"Double Suite, with private bathroom.",Spain,40,9
Room in the very ♥ of BCN - Unbeatable location,Spain,40,8
Double room in Gracia - Diagonal,Spain,40,9
Two person room in vibrant Old Town,Spain,40,10
WONDERFUL SPACIOUS DOBLE ROOM IN BARCELONA CENTER,Spain,40,9
Room with balcony,Spain,40,9
Habitación centro de Barcelona,Spain,40,9
Acogedor apartamento con vistas a toda Barcelona,Spain,40,9
Triple room Barcelona Guell park,Spain,40,8
× BARCELONA RAMBLAS PLAZA REAL ×,Spain,39,9
Bedroom /City Center /Close touristc places,Spain,39,8
¤¤Barrio Gótico de Barcelona,Spain,39,8
Charming room  Diagonal wifi 100 Mb,Spain,39,10
Lovely twin room in central flat,Spain,39,10
×× BARCELONA RAMBLAS PLAZA REAL ××,Spain,39,9
A natural and calm corner in Barcelona,Spain,38,10
HABITACION SINGLE en el  BARRIO DE SANTS-MONTJUIC,Spain,38,10
Sunny double room with balcony,Spain,38,10
Double room with private bathroom,Spain,38,9
"SM8 - Serenity Beach - 2 Bedroom, Dressing Room",Spain,38,10
Double room(close to airport and center),Spain,38,9
Room&Yard... Pl. España,Spain,38,9
SM71 - 1 minute from beach - 2-bedroom - balcony,Spain,38,10
city center apartament in luxury neigborhood,Spain,37,9
Private room with double bed next to Plaza Espana,Spain,37,9
Precioso apartamento en primera linea del mar!,Spain,37,9
habitacion 2 en el barrio del borne de  barcelona,Spain,36,8
habitacion 1 en el barrio del borne barcelona,Spain,36,8
Lovely and quiet doble room in the center of BCN,Spain,35,8
Charmy 3 bedrooms apartment in Sarrià-Sant Gervasi,Spain,35,9
PRIVATE ROOM NEAR CITY CENTER,Spain,35,9
"Cosy and bright double room. El Born, Barcelona.",Spain,35,9
Habitación Individual,Spain,35,9
el Besos y el Maresme,Spain,35,9
PRETTY ROOM IN BARCELONA-A/C-NEAR PLAZA ESPAÑA,Spain,35,9
Private cabin,Spain,35,8
★Exterior y céntrica★St Antoni A 2 min del Aerobus,Spain,35,9
HABITACIÓN DOBLE EN EL CENTRO MUY BIEN COMUNICADA,Spain,35,9
"Big bed, big room, near to plaza españa",Spain,35,9
Not a big room in Barcelona,Spain,35,9
2 confortables habitaciones en el centro de BCN!,Spain,35,9
Nice room centr 6,Spain,35,9
Prívate room with double bed,Spain,35,8
Habitación acogedora y soleada!!,Spain,35,9
Happy journey,Spain,35,8
Nice Bright Room by the Beach!,Spain,35,9
Habitación Luminosa y tranquila ambiente familiar.,Spain,35,9
In the center of Barcelona!!!,Spain,35,9
Double room with shared batroom with sea view,Spain,35,10
The Best point to Enjoy Barcelona,Spain,35,9
Room in Barcelona Near Sagrada Familia,Spain,35,8
COZY APARTMENT II,Spain,34,9
Very quite and bright room in Raval near Ramblas,Spain,34,10
Cozy room in the center of Barcelona!!!,Spain,33,10
"Lovely room close to beach,15 min center",Spain,32,9
Cozzy Room close to the center in quiet flat  !!!,Spain,32,9
piso céntrico de Barcelona,Spain,32,9
Hortes: Acogedor studio/apartamento en Poble Sec,Spain,32,9
"Double room, facing the sea. CCIB",Spain,32,10
MP Room for 2 persons bunk bed in shared apartment,Spain,32,9
Doble room in the heart of BCN - Born,Spain,31,9
Great location in Barcelona,Spain,31,8
habitación doble tranquila con luz,Spain,31,9
Exterior room with double bed and terrace!!,Spain,31,9
Apartment located near Guell park,Spain,31,9
El hogar de Gabi.,Spain,30,10
"Privacidad, silencio, buena comunicación...",Spain,30,10
Private bedroom in BORN,Spain,30,9
Double room in the middle of Gracia,Spain,30,9
DOUBLE ROOM + PERFECT LOCATION,Spain,30,9
Habitación con terraza y mucha luz en el centro.,Spain,30,9
GUESTROOM in BARCELONA/SANTS,Spain,30,10
Near the center and the airport . Double room,Spain,30,9
"Private room in Gracia, Barcelona",Spain,30,8
Habitación en Villa Olímpica,Spain,30,9
Espaciosa habitación / spacious room,Spain,30,9
Excelente apartamento con perfecta ubicación..,Spain,30,9
Welcome to tranquility!,Spain,30,10
Habitación doble en el centro,Spain,30,10
Cozy Room (Girls only) Quiet area/Sagrada Familia,Spain,30,10
Alquilamos habitacion,Spain,30,9
